,nom,num_rodal,actuacion,area_afectada,any_o_periodicitat,any_programat
0,MAS VILLARET,1,Aclarida baixa,2.3,2021,2021
1,MAS VILLARET,1,Tallada de manteniment d'infraestructures i/o elements singulars,0.5,5,2021
2,MAS VILLARET,1,Tallada de manteniment d'infraestructures i/o elements singulars,0.5,5,2026
3,MAS VILLARET,11,Desarrelament arbres i arbustos,1.08,2021,2021
4,MAS VILLARET,11,Despelegrinatge de suro,1.08,2021,2021
5,MAS VILLARET,11,Pela de suro,1.08,2021,2021
6,MAS VILLARET,12,Tallada final,0.31,2021,2021
7,MAS VILLARET,14,Tallada de manteniment d'infraestructures i/o elements singulars,0.2,5,2021
8,MAS VILLARET,14,Tallada de manteniment d'infraestructures i/o elements singulars,0.2,5,2026
9,MAS VILLARET,14,Tallada de selecció,2.3,2024,2024
10,MAS VILLARET,15,Desarrelament arbres i arbustos,9.05,2028,2028
11,MAS VILLARET,15,Tallada de manteniment d'infraestructures i/o elements singulars,1.5,5,2021
12,MAS VILLARET,15,Tallada de manteniment d'infraestructures i/o elements singulars,1.5,5,2026
13,MAS VILLARET,15,Tallada de selecció,9.05,2028,2028
14,MAS VILLARET,15,Tallada final,1.0,2028,2028
15,MAS VILLARET,16,Aclarida baixa,1.42,2028,2028
16,MAS VILLARET,16,Tallada de manteniment d'infraestructures i/o elements singulars,0.1,5,2021
17,MAS VILLARET,16,Tallada de manteniment d'infraestructures i/o elements singulars,0.1,5,2026
18,MAS VILLARET,17,Desarrelament arbres i arbustos,16.14,2025,2025
19,MAS VILLARET,17,Tallada de manteniment d'infraestructures i/o elements singulars,1.2,5,2021
20,MAS VILLARET,17,Tallada de manteniment d'infraestructures i/o elements singulars,1.2,5,2026
21,MAS VILLARET,17,Tallada de selecció,16.14,2021,2021
22,MAS VILLARET,17,Tallada final,1.3,2021,2021
23,MAS VILLARET,18,Desarrelament arbres i arbustos,8.4,2021,2021
24,MAS VILLARET,18,Tallada de manteniment d'infraestructures i/o elements singulars,1.0,5,2021
25,MAS VILLARET,18,Tallada de manteniment d'infraestructures i/o elements singulars,1.0,5,2026
26,MAS VILLARET,18,Tallada de selecció,8.4,2021,2021
27,MAS VILLARET,18,Tallada final,0.8,2021,2021
28,MAS VILLARET,19,Desarrelament arbres i arbustos,5.45,2021,2021
29,MAS VILLARET,19,Tallada de manteniment d'infraestructures i/o elements singulars,0.2,5,2021
30,MAS VILLARET,19,Tallada de manteniment d'infraestructures i/o elements singulars,0.2,5,2026
31,MAS VILLARET,19,Tallada de selecció,5.45,2021,2021
32,MAS VILLARET,19,Tallada final,0.4,2021,2021
33,MAS VILLARET,2,Tallada de manteniment d'infraestructures i/o elements singulars,1.2,5,2021
34,MAS VILLARET,2,Tallada de manteniment d'infraestructures i/o elements singulars,1.2,5,2026
35,MAS VILLARET,2,Tallada final,13.86,2021,2021
36,MAS VILLARET,2,Tallada final,1.0,2021,2021
37,MAS VILLARET,20,Aclarida baixa,2.2,2024,2024
38,MAS VILLARET,20,Tallada de manteniment d'infraestructures i/o elements singulars,0.1,5,2021
39,MAS VILLARET,20,Tallada de manteniment d'infraestructures i/o elements singulars,0.1,5,2026
40,MAS VILLARET,21,Tallada de manteniment d'infraestructures i/o elements singulars,0.12,5,2021
41,MAS VILLARET,21,Tallada de manteniment d'infraestructures i/o elements singulars,0.12,5,2026
42,MAS VILLARET,22,Aclarida baixa,1.33,2021,2021
43,MAS VILLARET,22,Reforestació per plantació,1.33,2030,2030
44,MAS VILLARET,22,Tallada final,1.33,2030,2030
45,MAS VILLARET,23,Aprofitament de llenya per consum propi,0.51,3,2021
46,MAS VILLARET,23,Aprofitament de llenya per consum propi,0.51,3,2024
47,MAS VILLARET,23,Aprofitament de llenya per consum propi,0.51,3,2027
48,MAS VILLARET,23,Aprofitament de llenya per consum propi,0.51,3,2030
49,MAS VILLARET,24,Aclarida baixa,2.04,2024,2024
50,MAS VILLARET,24,Aprofitament de llenya per consum propi,2.04,5,2021
51,MAS VILLARET,24,Aprofitament de llenya per consum propi,2.04,5,2026
52,MAS VILLARET,25,Aclarida baixa,1.75,2024,2024
53,MAS VILLARET,25,Tallada de manteniment d'infraestructures i/o elements singulars,0.7,3,2021
54,MAS VILLARET,25,Tallada de manteniment d'infraestructures i/o elements singulars,0.7,3,2024
55,MAS VILLARET,25,Tallada de manteniment d'infraestructures i/o elements singulars,0.7,3,2027
56,MAS VILLARET,25,Tallada de manteniment d'infraestructures i/o elements singulars,0.7,3,2030
57,MAS VILLARET,27,Aclarida baixa,6.87,2021,2021
58,MAS VILLARET,28,Aclarida baixa,6.51,2021,2021
59,MAS VILLARET,28,Aprofitament de llenya per consum propi,6.51,3,2021
60,MAS VILLARET,28,Aprofitament de llenya per consum propi,6.51,3,2024
61,MAS VILLARET,28,Aprofitament de llenya per consum propi,6.51,3,2027
62,MAS VILLARET,28,Aprofitament de llenya per consum propi,6.51,3,2030
63,MAS VILLARET,29,Aclarida baixa,1.61,2027,2027
64,MAS VILLARET,29,Aprofitament de llenya per consum propi,1.61,3,2021
65,MAS VILLARET,29,Aprofitament de llenya per consum propi,1.61,3,2024
66,MAS VILLARET,29,Aprofitament de llenya per consum propi,1.61,3,2027
67,MAS VILLARET,29,Aprofitament de llenya per consum propi,1.61,3,2030
68,MAS VILLARET,29,Tallada de manteniment d'infraestructures i/o elements singulars,0.3,5,2021
69,MAS VILLARET,29,Tallada de manteniment d'infraestructures i/o elements singulars,0.3,5,2026
70,MAS VILLARET,3,Aclarida baixa,9.29,2021,2021
71,MAS VILLARET,3,Tallada de manteniment d'infraestructures i/o elements singulars,1.9,5,2021
72,MAS VILLARET,3,Tallada de manteniment d'infraestructures i/o elements singulars,1.9,5,2026
73,MAS VILLARET,3,Tallada final,0.4,2021,2021
74,MAS VILLARET,3,Tallada final,9.29,2030,2030
75,MAS VILLARET,30,Aprofitament de llenya per consum propi,13.43,3,2021
76,MAS VILLARET,30,Aprofitament de llenya per consum propi,13.43,3,2024
77,MAS VILLARET,30,Aprofitament de llenya per consum propi,13.43,3,2027
78,MAS VILLARET,30,Aprofitament de llenya per consum propi,13.43,3,2030
79,MAS VILLARET,30,Tallada de manteniment d'infraestructures i/o elements singulars,2.3,5,2021
80,MAS VILLARET,30,Tallada de manteniment d'infraestructures i/o elements singulars,2.3,5,2026
81,MAS VILLARET,30,Tallada de selecció,13.43,2030,2030
82,MAS VILLARET,31,Aclarida baixa,0.39,2021,2021
83,MAS VILLARET,32,Reforestació per plantació,0.73,2028,2028
84,MAS VILLARET,32,Tallada de manteniment d'infraestructures i/o elements singulars,0.15,5,2021
85,MAS VILLARET,32,Tallada de manteniment d'infraestructures i/o elements singulars,0.15,5,2026
86,MAS VILLARET,32,Tallada final,0.73,2028,2028
87,MAS VILLARET,33,Aclarida baixa,0.77,2022,2022
88,MAS VILLARET,34,Reforestació per plantació,1.25,2022,2022
89,MAS VILLARET,34,Tallada final,0.89,2021,2021
90,MAS VILLARET,35,Aclarida baixa,0.64,2021,2021
91,MAS VILLARET,35,Tallada de manteniment d'infraestructures i/o elements singulars,0.1,5,2021
92,MAS VILLARET,35,Tallada de manteniment d'infraestructures i/o elements singulars,0.1,5,2026
93,MAS VILLARET,36,Aclarida baixa,1.97,2021,2021
94,MAS VILLARET,37,Reforestació per plantació,2.52,2022,2022
95,MAS VILLARET,37,Tallada final,2.52,2021,2021
96,MAS VILLARET,38,Aclarida baixa,3.95,2021,2021
97,MAS VILLARET,38,Aclarida sanitària ,3.95,2021,2021
98,MAS VILLARET,38,Tallada de manteniment d'infraestructures i/o elements singulars,0.2,5,2021
99,MAS VILLARET,38,Tallada de manteniment d'infraestructures i/o elements singulars,0.2,5,2026
100,MAS VILLARET,4,Aclarida baixa,14.28,2021,2021
101,MAS VILLARET,4,Tallada de manteniment d'infraestructures i/o elements singulars,2.8,5,2021
102,MAS VILLARET,4,Tallada de manteniment d'infraestructures i/o elements singulars,2.8,5,2026
103,MAS VILLARET,4,Tallada final,1.0,2021,2021
104,MAS VILLARET,4,Tallada final,14.28,2027,2027
105,MAS VILLARET,5,Aclarida baixa,4.1,2025,2025
106,MAS VILLARET,5,Tallada de manteniment d'infraestructures i/o elements singulars,0.5,5,2021
107,MAS VILLARET,5,Tallada de manteniment d'infraestructures i/o elements singulars,0.5,5,2026
108,MAS VILLARET,5,Tallada final,0.5,2025,2025
109,MAS VILLARET,6,Tallada de manteniment d'infraestructures i/o elements singulars,0.6,5,2021
110,MAS VILLARET,6,Tallada de manteniment d'infraestructures i/o elements singulars,0.6,5,2026
111,MAS VILLARET,6,Tallada final,0.3,2021,2021
112,MAS VILLARET,6,Tallada final,5.55,2021,2021
113,MAS VILLARET,7,Aclarida baixa,22.37,2021,2021
114,MAS VILLARET,7,Tallada de manteniment d'infraestructures i/o elements singulars,1.6,5,2021
115,MAS VILLARET,7,Tallada de manteniment d'infraestructures i/o elements singulars,1.6,5,2026
116,MAS VILLARET,7,Tallada final,1.6,2021,2021
117,MAS VILLARET,7,Tallada final,22.37,2030,2030
118,MAS VILLARET,8,Tallada de manteniment d'infraestructures i/o elements singulars,0.2,5,2021
119,MAS VILLARET,8,Tallada de manteniment d'infraestructures i/o elements singulars,0.2,5,2026
120,MAS VILLARET,8,Tallada final,0.2,2021,2021
121,MAS VILLARET,9,Despelegrinatge de suro,1.0,2021,2021
122,MAS VILLARET,9,Pela de suro,1.0,2021,2021
